Index ,Close,CloseTotRetc,CloseNetRet
"2015/01/05","28407.63","39691.69","38179.05"
"2015/01/06","27570.51","38522.05","37053.98"
"2015/01/07","27565.03","38514.39","37046.62"
"2015/01/08","27847.84","38909.54","37426.71"
"2015/01/09","27917.43","39006.77","37520.24"
"2015/01/13","27783.22","38819.25","37339.87"
"2015/01/14","27447.62","38350.34","36888.83"
"2015/01/15","27715.11","38724.08","37248.33"
"2015/01/16","27584.19","38541.16","37072.38"
"2015/01/19","27817.17","38866.68","37385.50"
"2015/01/20","28291.00","39528.72","38022.31"
"2015/01/21","28130.24","39304.10","37806.25"
"2015/01/22","28251.44","39473.44","37969.14"
"2015/01/23","28539.94","39876.54","38356.88"
"2015/01/26","28430.89","39724.17","38210.32"
"2015/01/27","28846.56","40304.95","38768.97"
"2015/01/28","28843.48","40318.15","38778.26"
"2015/01/29","28423.99","39731.78","38214.28"
"2015/01/30","28511.45","39854.03","38331.86"
"2015/02/02","28429.16","39739.00","38221.23"
"2015/02/03","28239.23","39473.51","37965.88"
"2015/02/04","28818.22","40282.84","38744.30"
"2015/02/05","28752.91","40191.55","38656.49"
"2015/02/06","28930.07","40439.19","38894.67"
"2015/02/09","29224.33","40850.51","39290.28"
"2015/02/10","29333.89","41003.66","39437.58"
"2015/02/12","29607.16","41385.64","39804.97"
"2015/02/13","29644.32","41437.58","39854.93"
"2015/02/16","30030.50","41977.39","40374.12"
"2015/02/17","30040.34","41991.14","40387.35"
"2015/02/18","30348.53","42421.94","40801.69"
"2015/02/19","30624.01","42807.01","41172.06"
"2015/02/20","30659.42","42856.51","41219.67"
"2015/02/23","30761.89","42999.75","41357.43"
"2015/02/24","30936.07","43243.22","41591.60"
"2015/02/25","30900.91","43197.72","41547.13"
"2015/02/26","31188.21","43599.35","41933.41"
"2015/02/27","31256.47","43694.77","42025.19"
"2015/03/02","31314.38","43775.72","42103.05"
"2015/03/03","31366.46","43848.52","42173.07"
"2015/03/04","31196.65","43611.14","41944.76"
"2015/03/05","31396.47","43890.48","42213.42"
"2015/03/06","31844.14","44516.30","42815.32"
"2015/03/09","31666.72","44268.28","42576.77"
"2015/03/10","31470.21","43993.57","42312.56"
"2015/03/11","31430.50","43938.06","42259.17"
"2015/03/12","31819.08","44481.27","42781.63"
"2015/03/13","31918.77","44620.63","42915.67"
"2015/03/16","31847.61","44521.15","42819.99"
"2015/03/17","32032.57","44779.71","43068.67"
"2015/03/18","32146.72","44939.29","43222.15"
"2015/03/19","31993.74","44725.43","43016.46"
"2015/03/20","32051.51","44806.19","43094.13"
"2015/03/23","32549.18","45501.90","43763.26"
"2015/03/24","32579.82","45544.73","43804.46"
"2015/03/25","32642.81","45632.79","43889.15"
"2015/03/26","32307.49","45164.03","43438.30"
"2015/03/27","31748.64","44875.06","43064.20"
"2015/03/30","31719.04","44833.22","43024.05"
"2015/03/31","31337.68","44294.19","42506.77"
"2015/04/01","30939.15","43730.89","41966.20"
"2015/04/02","31432.75","44428.57","42635.72"
"2015/04/03","31548.57","44592.28","42792.82"
"2015/04/06","31449.53","44452.29","42658.48"
"2015/04/07","31881.35","45062.65","43244.21"
"2015/04/08","32100.36","45372.21","43541.28"
"2015/04/09","32294.66","45646.84","43804.83"
"2015/04/10","32154.11","45448.18","43614.19"
"2015/04/13","32245.04","45576.70","43737.53"
