Date of Data,Code,Company Name,Nikkei Industrial Classification,Weight,Dividend
2018/11/30,1928,"SEKISUI HOUSE, LTD.",Construction,2.3033%,4.07
2018/11/30,2768,SOJITZ CORP.,Trading Companies,1.9314%,3.87
2018/11/30,2914,JAPAN TOBACCO INC.,Foods,3.8702%,5.11
2018/11/30,4061,"DENKA CO., LTD.",Chemicals,0.4424%,3
2018/11/30,4183,"MITSUI CHEMICALS, INC.",Chemicals,1.4002%,3.17
2018/11/30,4188,MITSUBISHI CHEMICAL HOLDINGS CORP.,Chemicals,1.9991%,3.37
2018/11/30,4208,"UBE INDUSTRIES, LTD.",Chemicals,0.6512%,2.42
2018/11/30,4502,"TAKEDA PHARMACEUTICAL CO., LTD.",Pharmaceuticals,3.1079%,4.04
2018/11/30,4704,TREND MICRO INC.,Services,1.3125%,2.59
2018/11/30,4902,"KONICA MINOLTA, INC.",Precision Instruments,0.9964%,3.02
2018/11/30,5002,SHOWA SHELL SEKIYU K.K.,Petroleum,1.1342%,2.9
2018/11/30,5020,"JXTG HOLDINGS, INC.",Petroleum,1.7855%,2.85
2018/11/30,5101,"THE YOKOHAMA RUBBER CO., LTD.",Rubber,0.4212%,2.62
2018/11/30,5108,BRIDGESTONE CORP.,Rubber,3.1045%,3.67
2018/11/30,5214,"NIPPON ELECTRIC GLASS CO., LTD.",Glass & Ceramics,1.1243%,3.39
2018/11/30,5703,"NIPPON LIGHT METAL HOLDINGS CO., LTD.",Nonferrous Metals,0.5055%,3.15
2018/11/30,6113,"AMADA HOLDINGS CO., LTD.",Machinery,1.1859%,3.55
2018/11/30,6178,"JAPAN POST HOLDINGS CO., LTD.",Services,3.5681%,4.01
2018/11/30,6301,KOMATSU LTD.,Machinery,1.8171%,2.68
2018/11/30,6471,NSK LTD.,Machinery,1.3392%,3.23
2018/11/30,6472,NTN CORP.,Machinery,0.8539%,3.23
2018/11/30,6703,"OKI ELECTRIC IND. CO., LTD.",Electric Machinery,0.7809%,4.02
2018/11/30,7201,"NISSAN MOTOR CO., LTD.",Automobiles & Auto parts,3.7034%,5.28
2018/11/30,7203,TOYOTA MOTOR CORP.,Automobiles & Auto parts,2.5080%,3.18
2018/11/30,7267,"HONDA MOTOR CO., LTD.",Automobiles & Auto parts,2.3402%,3.13
2018/11/30,7270,SUBARU CORP.,Automobiles & Auto parts,2.6345%,4.32
2018/11/30,7751,CANON INC.,Electric Machinery,3.0007%,4.31
2018/11/30,8001,ITOCHU CORP.,Trading Companies,2.8630%,3.62
2018/11/30,8002,MARUBENI CORP.,Trading Companies,2.5729%,4.01
2018/11/30,8031,"MITSUI & CO., LTD.",Trading Companies,2.7195%,3.65
2018/11/30,8035,TOKYO ELECTRON LTD.,Electric Machinery,2.5241%,4.03
2018/11/30,8053,SUMITOMO CORP.,Trading Companies,2.5187%,4.1
2018/11/30,8058,MITSUBISHI CORP.,Trading Companies,3.0817%,3.79
2018/11/30,8304,"AOZORA BANK, LTD.",Banking,1.1869%,4.27
2018/11/30,8306,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",Banking,2.3301%,3.05
2018/11/30,8308,"RESONA HOLDINGS, INC.",Banking,2.2096%,3.46
2018/11/30,8309,"SUMITOMO MITSUI TRUST HOLDINGS, INC.",Banking,1.8456%,2.86
2018/11/30,8316,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",Banking,2.8188%,3.78
2018/11/30,8354,"FUKUOKA FINANCIAL GROUP, INC.",Banking,0.8364%,2.92
2018/11/30,8411,"MIZUHO FINANCIAL GROUP, INC.",Banking,3.1559%,3.95
2018/11/30,8601,DAIWA SECURITIES GROUP INC.,Securities,3.1931%,5.38
2018/11/30,8604,"NOMURA HOLDINGS, INC.",Securities,2.7145%,3.72
2018/11/30,8628,"MATSUI SECURITIES CO., LTD.",Securities,1.0059%,8.26
2018/11/30,8725,"MS&AD INSURANCE GROUP HOLDINGS, INC.",Insurance,2.4014%,3.75
2018/11/30,8729,SONY FINANCIAL HOLDINGS INC.,Insurance,1.1948%,3.12
2018/11/30,8766,"TOKIO MARINE HOLDINGS, INC.",Insurance,2.9531%,3.44
2018/11/30,9412,SKY PERFECT JSAT HOLDINGS INC.,Communications,0.6564%,3.67
2018/11/30,9433,KDDI CORP.,Communications,2.4678%,3.4
2018/11/30,9437,"NTT DOCOMO, INC.",Communications,2.9280%,3.9
